2019-08-13 13:21:17.050 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.Perkinelmer.SSO.SsoApplicationTests], using SpringBootContextLoader
2019-08-13 13:21:17.065 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.Perkinelmer.SSO.SsoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-08-13 13:21:17.067 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.Perkinelmer.SSO.SsoApplicationTests]: SsoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-08-13 13:21:17.226 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.Perkinelmer.SSO.SSOApplication for test class com.Perkinelmer.SSO.SsoApplicationTests
2019-08-13 13:21:17.379 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-08-13 13:21:17.402 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7690781, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@77eca502, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3246fb96, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2e222612, org.springframework.test.context.support.DirtiesContextTestExecutionListener@61386958, org.springframework.test.context.transaction.TransactionalTestExecutionListener@73ee04c8, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7671cb68, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@49dc7102, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6b8ca3c8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@68c72235, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@10959ece, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3a6bb9bf]
2019-08-13 13:21:17.981 [main] INFO  c.P.SSO.SsoApplicationTests -Starting SsoApplicationTests on SHALL940 with PID 14548 (started by wangj01052 in C:\Project\研发工作\单点登录\SSO_Server)
2019-08-13 13:21:17.982 [main] INFO  c.P.SSO.SsoApplicationTests -No active profile set, falling back to default profiles: default
2019-08-13 13:21:18.705 [main] WARN  o.m.s.mapper.ClassPathMapperScanner -No MyBatis mapper was found in '[com.Perkinelmer.Mapper]' package. Please check your configuration.
2019-08-13 13:21:20.937 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor -Initializing ExecutorService 'applicationTaskExecutor'
2019-08-13 13:21:21.497 [main] INFO  c.P.SSO.SsoApplicationTests -Started SsoApplicationTests in 4.044 seconds (JVM running for 5.65)
2019-08-13 13:21:21.832 [Thread-2] INFO  o.s.s.c.ThreadPoolTaskExecutor -Shutting down ExecutorService 'applicationTaskExecutor'
